question;passage_id;passage
Czy wydział wojskowy należy do wydziałów sądu okręgowego?;2001_1070.txt:Art.16;Art. 16.  §1. Sąd okręgowy dzieli się na wydziały:  1) cywilny - do rozpoznawania w pierwszej instancji spraw cywilnych i  rodzinnych oraz do rozpoznawania w drugiej instancji spraw cywilnych oraz  spraw należących do właściwości sądów rodzinnych  z wyjątkiem spraw  przeciwko nieletnim o popełnienie czynu karalnego  jeżeli wobec  nieletniego zastosowano środek poprawczy lub gdy środek odwoławczy zawiera  wniosek o orzeczenie środka poprawczego   2) karny - do spraw z zakresu prawa karnego w pierwszej i drugiej instancji  oraz do spraw rozpoznawanych w drugiej instancji przeciwko nieletnim o  popełnienie czynu karalnego  jeżeli wobec nieletniego zastosowano środek  poprawczy lub gdy środek odwoławczy zawiera wniosek o orzeczenie środka  poprawczego   3) penitencjarny i nadzoru nad wykonywaniem orzeczeń karnych - do spraw  penitencjarnych i nadzoru nad sądowym postępowaniem wykonawczym w sprawach  z zakresu prawa karnego   4) pracy (sąd pracy) - do spraw z zakresu prawa pracy oraz wydział  ubezpieczeń społecznych (sąd ubezpieczeń społecznych) - do spraw z zakresu  ubezpieczeń społecznych   5) gospodarczy (sąd gospodarczy) - do spraw gospodarczych.  §2. W sądzie okręgowym  w którym wpływ spraw z zakresu prawa pracy  i ubezpieczeń społecznych jest niewielki  zamiast odrębnych wydziałów  pracy i ubezpieczeń społecznych tworzy się wydział pracy i ubezpieczeń  społecznych (sąd pracy i ubezpieczeń społecznych).  §3. Do orzekania w jednostkach organizacyjnych  o których mowa w § 1 pkt 4  oraz w § 2  wyznacza się sędziów i ławników wykazujących szczególną  znajomość problematyki spraw pracowniczych oraz celów ubezpieczenia i  potrzeb osób ubezpieczonych.  §4. Do orzekania w jednostkach  o których mowa w § 1 pkt 5  wyznacza się  sędziów wykazujących się szczególną znajomością problematyki gospodarczej.  §5. W Sądzie Okręgowym w Warszawie działają ponadto jako wydziały:  1) odrębna jednostka organizacyjna do spraw z zakresu ochrony konkurencji   regulacji energetyki  telekomunikacji i transportu kolejowego (sąd  antymonopolowy)   2) odrębna jednostka organizacyjna do spraw rejestrowych powierzonych temu  sądowi na podstawie odrębnych przepisów.  
Do kiedy uważa się za spełniony wymóg odbycia aplikacji dyplomatyczno-konsularną?;2001_1403.txt:Art.55;Art. 55. W okresie 5 lat od dnia wejścia ustawy w życie  określony w art. 12 ust. 1 pkt 1 wymóg odbycia aplikacji dyplomatyczno-konsularnej uważa się za spełniony także w przypadku gdy doświadczenie zawodowe danej osoby w sferze stosunków zagranicznych gwarantuje fachowe wykonywanie obowiązków członka personelu dyplomatyczno-konsularnego służby zagranicznej.  
Jakie prezepisy stosuje się do rozpatrywania skarg w związki z realizacją Euro 2012?;2004_42.txt:Art.35;"Art. 35. 1. Do skarg rozpatrywanych w postępowaniu administracyjnym w związku z realizacją przedsięwzięć Euro 2012 stosuje się przepisy ustawy z dnia 30 sierpnia 2002 r. – Prawo o postępowaniu przed sądami administracyjnymi (Dz. U. Nr 153  poz. 1270  z późn. zm.[8]))  z zastrzeżeniem przepisów ustawy  z tym  że: 1) przekazanie akt i odpowiedzi na skargę następuje w terminie 15 dni od dnia otrzymania skargi; 2) skargę rozpatruje się w terminie 30 dni od dnia otrzymania akt wraz z odpowiedzią na skargę. 2. Termin rozpatrzenia skargi kasacyjnej wynikającej z realizacji przedsięwzięć Euro 2012 wynosi 2 miesiące od jej wniesienia.  "
Co się dzieje w przypadku stwierdzenia że przywóz towaru objętego postępowaniem jest nadmierny?;1997_752.txt:Art.27;Art. 27. 1. Jeżeli w wyniku postępowania ustalono  że przywóz towaru objętego  postępowaniem jest nadmierny  minister właściwy do spraw gospodarki wydaje  postanowienie stwierdzające ten fakt. Postanowienie to powinno zawierać w  szczególności:  1) nazwę towaru  opis towaru  kod taryfy celnej   2) określenie metody oraz czynników  które uwzględniono przy dokonywaniu  ustaleń w przedmiocie wyrządzenia poważnej szkody lub zagrożenia  wyrządzeniem takiej szkody przez wzrost przywozu towaru objętego  postępowaniem   3) wskazanie odpowiedniego środka ochronnego i określenie prawdopodobnych  skutków jego nałożenia dla gospodarki i interesu publicznego   4) ocenę programu dostosowawczego przemysłu krajowego  mającego na celu  zapewnienie konkurencyjności tego przemysłu po zniesieniu ograniczeń w  dostępie do rynku   5) listę znanych przedsiębiorców stanowiących przemysł krajowy  wytwarzający towar  o którym mowa w pkt 1. 2. Postanowienie  o którym mowa w ust. 1  powinno zawierać uzasadnienie  wskazujące podstawy faktyczne i prawne dokonanych ustaleń. 3. Do postanowienia  o którym mowa w ust. 1  stosuje się przepis art. 21  ust. 5.  
Kto opracowuje plan zapewnienia bezpieczeństwa i porządku publicznego podczas Konferencji COP24?;2004_285.txt:Art.16;"Art. 16. 1. Wojewoda Śląski  po konsultacji ze służbami i instytucjami zaangażowanymi w zapewnienie bezpieczeństwa podczas Konferencji COP24 oraz w porozumieniu ze służbami Departamentu Bezpieczeństwa Narodów Zjednoczonych  opracowuje plan zapewnienia bezpieczeństwa i porządku publicznego podczas Konferencji COP24 i przedkłada go ministrowi właściwemu do spraw wewnętrznych oraz do wiadomości ministrowi właściwemu do spraw środowiska  Komendantowi Głównemu Policji  Komendantowi Głównemu Państwowej Straży Pożarnej  Komendantowi Głównemu Straży Granicznej  Szefowi Agencji Bezpieczeństwa Wewnętrznego oraz Szefowi Biura Ochrony Rządu  a także  w zakresie objętym właściwością  zarządcy dróg znajdujących się na obszarze objętym tym planem  nie później niż do dnia 1 września 2018 r.  z zachowaniem przepisów dotyczących ochrony informacji niejawnych. 2. Plan  o którym mowa w ust. 1  obejmuje co najmniej: 1) graficzny plan obiektu lub terenu  sporządzony odrębnie dla każdego obiektu lub terenu  w którym lub na którym mają się odbyć poszczególne wydarzenia w ramach Konferencji COP24  wraz z ich opisem  zawierający: a) dokładne oznaczenie strefy  która będzie pod bezpośrednim nadzorem lub kontrolą Departamentu Bezpieczeństwa Narodów Zjednoczonych  b) oznaczenie dróg dojazdu i dróg dojścia osób uczestniczących w tych wydarzeniach  dróg ewakuacyjnych oraz dróg dojazdowych dla pojazdów służb ratowniczych  Policji i innych służb odpowiedzialnych za zapewnienie bezpieczeństwa podczas Konferencji COP24; 2) instrukcję postępowania w przypadku pożaru lub innego miejscowego zagrożenia w miejscu i w czasie poszczególnych wydarzeń w ramach Konferencji COP24  spełniającą wymagania określone w przepisach wydanych na podstawie art. 6 ust. 5 ustawy z dnia 20 marca 2009 r. o bezpieczeństwie imprez masowych (Dz. U. z 2017 r. poz. 1160); 3) instrukcję postępowania w sytuacjach kryzysowych innych niż wymienione w pkt 2; 4) szczegółowy podział zadań służb i innych podmiotów zaangażowanych w zapewnienie bezpieczeństwa i porządku publicznego; 5) sposoby monitorowania zagrożeń oraz ostrzegania i alarmowania o zagrożeniach; 6) sposób zapewnienia zabezpieczenia medycznego i socjalnego. 3. Wojewoda Śląski może  w drodze aktu prawa miejscowego  wprowadzić w czasie trwania Konferencji COP24 zakaz przewozu towarów niebezpiecznych oraz ruchu pojazdów o dopuszczalnej masie całkowitej przekraczającej 12 ton na drogach na obszarze województwa śląskiego  określając drogi  które obejmuje zakaz  oraz okres obowiązywania zakazu. 4. Wydając akt prawa miejscowego  o którym mowa w ust. 3  Wojewoda Śląski bierze pod uwagę potrzebę zapewnienia bezpieczeństwa oraz płynności ruchu drogowego. "
Kiedy wygasa członkostwo w Radzie?;2004_177.txt:Art.159;"Art. 159. 1. Kadencja Rady upływa wraz z upływem kadencji Prezesa Urzędu. 2. Członkostwo w Radzie wygasa w przypadku upływu kadencji Rady  śmierci  członka Rady  jego odwołania albo rezygnacji. 3. Prezes Rady Ministrów odwołuje członka Rady  jeżeli przestał on odpowiadać  jednemu z warunków określonych w art. 158 ust. 3 pkt 1-3  a na wniosek  Prezesa Urzędu w razie:  1) niewykonywania obowiązków członka Rady;  2) utraty autorytetu dającego rękojmię prawidłowej realizacji zadań Rady;  3) choroby uniemożliwiającej sprawowanie funkcji członka Rady.  "
Co to jest margines dumpingu?;2001_1352.txt:Art.12;Art. 12. 1. Margines dumpingu stanowi kwotę  o jaką wartość normalna przewyższa cenę  eksportową. 2. Porównywanie ceny eksportowej z wartością normalną dokonywane jest na tym  samym poziomie obrotu  zazwyczaj na poziomie cen zbytu producenta  w  odniesieniu do transakcji sprzedaży dokonanych możliwie w jak najbardziej  zbliżonych terminach oraz z uwzględnieniem różnic wpływających na  porównywalność cen.  
Kto jest ubezpieczonymi na podstawie przepisów prawa?;1997_153.txt:Art.2;Art. 2.  1. Świadczenia określone w przepisach ustawy udzielane są w razie choroby lub urazu, ciąży, porodu i połogu, powszechnej akcji zapobiegania chorobom  oraz konieczności dokonania oceny stanu zdrowia wymaganej na podstawie odrębnych przepisów i przysługują:  1) osobom podlegającym obowiązkowi ubezpieczenia,  2) członkom rodziny osób, o których mowa w pkt 1.  2. Ubezpieczonymi są:  1) osoby posiadające obywatelstwo polskie i zamieszkujące na terytorium Rzeczypospolitej Polskiej,  2) cudzoziemcy zamieszkujący lub przebywający na terytorium Rzeczypospolitej  Polskiej, z zastrzeżeniem art. 10,  którzy spełnili warunki określone w art. 3.  3. Za członka rodziny uważa się małżonka, dziecko własne, dziecko drugiego małżonka, dziecko przysposobione, oraz wnuka i dziecko obce przyjęte na wychowanie, również w ramach rodziny zastępczej - do ukończenia 18 lat, a jeżeli kształci się dalej - do ukończenia 26 lat, a także innych członków rodziny zamieszkałych wspólnie z ubezpieczonym, pozostających na jego wyłącznym utrzymaniu.  
Do czego zobowiązane są organy Państwowej Straży Pożarnej w razie wystąpienia awarii przemysłowej?;2001_627.txt:Art.269;"Art. 269. Komendant powiatowy Państwowej Straży Pożarnej w ramach czynności kontrolnorozpoznawczych przeprowadzanych co najmniej raz w roku w zakładzie stwarzającym zagrożenie wystąpienia awarii przemysłowych, ustala spełnienie wymogów bezpieczeństwa, a w szczególności czy:  1) podjęto środki zapobiegające wystąpieniu awarii przemysłowej,  2) zapewniono wystarczające środki ograniczające skutki awarii przemysłowej  w zakładzie i poza jego granicami, uwzględniając skutki transgraniczne,  3) dane zawarte w dokumentach, o których mowa w ustawie, takich jak  zgłoszenie zakładu o zwiększonym ryzyku lub dużym ryzyku, program  zapobiegania awariom, raport o bezpieczeństwie, wewnętrzny plan operacyjnoratowniczy, informacje niezbędne do opracowania zewnętrznego planu  operacyjno-ratowniczego, przedkładane właściwym organom Państwowej Straży  Pożarnej "" są rzetelne i odzwierciedlają stan bezpieczeństwa w zakładzie.  Dział III  Współpraca międzynarodowa  "
Do czego zobowiązane są organy Państwowej Straży Pożarnej w razie wystąpienia awarii przemysłowej?;2001_627.txt:Art.271;Art. 271. 1. Minister właściwy do spraw środowiska po uzyskaniu informacji o wystąpieniu  awarii przemysłowej poza terytorium Rzeczypospolitej Polskiej, której skutki  mogą oddziaływać na terytorium Rzeczypospolitej Polskiej, niezwłocznie  zawiadamia o tym Komendanta Głównego Państwowej Straży Pożarnej. 2. Komendant Główny Państwowej Straży Pożarnej, w sytuacji określonej w ust. 1,  niezwłocznie podejmuje akcję ratowniczą. 3. Na potrzeby wystąpienia z roszczeniem wobec podmiotów odpowiedzialnych  Komendant Główny Państwowej Straży Pożarnej, po zakończeniu akcji  ratowniczej, dokona szacunku strat powstałych wskutek transgranicznego  oddziaływania awarii przemysłowej na środowisko oraz kosztów akcji  ratunkowej.  Tytuł V  Środki finansowo-prawne  Dział I  Przepisy ogólne  
Do czego zobowiązane są organy Państwowej Straży Pożarnej w razie wystąpienia awarii przemysłowej?;2001_627.txt:Art.266;Art. 266. 1. Komendant wojewódzki Państwowej Straży Pożarnej w razie zagrożenia awarią  przemysłową lub jej wystąpienia niezwłocznie przystępuje do realizacji  zewnętrznego planu operacyjno-ratowniczego. 2. Komendant wojewódzki Państwowej Straży Pożarnej może odstąpić od  sporządzenia zewnętrznego planu operacyjno-ratowniczego, jeżeli z informacji  dostarczonych przez prowadzącego zakład wynika w sposób niebudzący  wątpliwości, że nie występuje ryzyko rozprzestrzenienia się skutków awarii  poza zakład.  
Co ogłasza się w Biuletynie Zamówień Publicznych?;2004_177.txt:Art.154;"Art. 154. Prezes Urzędu:  1) opracowuje projekty aktów normatywnych dotyczących zamówień;  2) podejmuje rozstrzygnięcia w indywidualnych sprawach przewidzianych  ustawą;  3) wydaje Biuletyn Zamówień Publicznych, w którym publikuje ogłoszenia  przewidziane ustawą;  4) prowadzi i ogłasza w Biuletynie Zamówień Publicznych listę arbitrów  rozpatrujących odwołania od oddalenia lub odrzucenia protestów wnoszonych  w postępowaniach o udzielenie zamówienia;  5) prowadzi i ogłasza w Biuletynie Zamówień Publicznych listę organizacji  uprawnionych do wnoszenia środków ochrony prawnej;  6) zapewnia funkcjonowanie systemu środków ochrony prawnej;  7) opracowuje programy szkoleń, organizuje oraz inspiruje szkolenia z  zakresu zamówień;  8) przygotowuje i upowszechnia przykładowe kryteria oceny merytorycznego  poziomu szkoleń;  9) na wniosek podmiotu prowadzącego szkolenie dokonuje oceny spełniania  przez ten podmiot kryteriów, o których mowa w pkt 8, oraz upowszechnia jej  wyniki;  10) upowszechnia przykładowe wzory umów w sprawach zamówień publicznych,  regulaminów oraz innych dokumentów stosowanych przy udzielaniu zamówień;  11) czuwa nad przestrzeganiem zasad systemu zamówień, w szczególności  dokonuje kontroli procesu udzielania zamówień w zakresie przewidzianym  ustawą;  12) upowszechnia zasady etyki zawodowej osób wykonujących zadania w systemie  zamówień;  13) dąży do zapewnienia jednolitego stosowania przepisów o zamówieniach, przy  uwzględnieniu orzecznictwa sądów oraz Trybunału Konstytucyjnego;  14) prowadzi współpracę międzynarodową w sprawach związanych z zamówieniami;  15) dokonuje analiz funkcjonowania systemu zamówień;  16) opracowuje i przedstawia Radzie Ministrów oraz Komisji Europejskiej  roczne sprawozdania o funkcjonowaniu systemu zamówień.  "
Co ogłasza się w Biuletynie Zamówień Publicznych?;2004_177.txt:Art.11;"Art. 11. 1. Ogłoszenia, o których mowa w ustawie, przekazywane Prezesowi Urzędu oraz  Urzędowi Oficjalnych Publikacji Wspólnot Europejskich publikuje się  odpowiednio w Biuletynie Zamówień Publicznych oraz w Dzienniku Urzędowym Unii  Europejskiej. 2. Ogłoszenia przekazywane Prezesowi Urzędu publikuje się w Biuletynie Zamówień  Publicznych w terminie 10 dni od dnia doręczenia do Urzędu Zamówień  Publicznych, zwanego dalej ""Urzędem"". 3. Prezes Urzędu wzywa do sprostowania ogłoszenia opublikowanego w Biuletynie  Zamówień Publicznych, jeżeli ogłoszenie nie spełnia wymagań określonych w  przepisach ustawy dotyczących ogłoszeń oraz w przepisach rozporządzenia  wydanego na podstawie ust. 6. Sprostowania przekazane Prezesowi Urzędu  publikuje się w formie obwieszczenia w Biuletynie Zamówień Publicznych w  terminie 10 dni od dnia doręczenia do Urzędu. 4. Prezes Urzędu z własnej inicjatywy lub na wniosek zamawiającego prostuje  niezwłocznie, w formie obwieszczenia publikowanego w Biuletynie Zamówień  Publicznych, błędy w ogłoszeniu opublikowanym w Biuletynie Zamówień  Publicznych polegające na niezgodności tego ogłoszenia z treścią ogłoszenia  przekazanego przez zamawiającego do publikacji. 5. Prezes Urzędu, na wniosek zamawiającego, może w uzasadnionych przypadkach  opublikować w Biuletynie Zamówień Publicznych ogłoszenie, którego publikacja  ze względu na wartość zamówienia nie jest obowiązkowa. 6. Prezes Rady Ministrów określi, w drodze rozporządzenia, wzory ogłoszeń  przekazywanych Prezesowi Urzędu oraz Urzędowi Oficjalnych Publikacji Wspólnot  Europejskich, mając na względzie rodzaj ogłoszenia oraz wartość zamówienia  albo konkursu.  "
Co ogłasza się w Biuletynie Zamówień Publicznych?;1994_344.txt:Art.29;Art. 29.  1. Zamawiający zaprasza do udziału w przetargu nieograniczonym zamieszczając  ogłoszenie w miejscu publicznie dostępnym w swojej siedzibie oraz, za pośrednictwem Prezesa Urzędu, w Biuletynie Zamówień Publicznych.  2. Jeżeli ogłoszenie nie spełnia wymogów określonych w ustawie, Prezes Urzędu odmawia zamieszczenia takiego ogłoszenia w Biuletynie Zamówień  Publicznych.  3. Zamawiający może także ogłosić organizację przetargu nieograniczonego w prasie. Ogłoszenie to nie może być jednak skierowane do prasy przed publikacją w Biuletynie Zamówień Publicznych.  
Co to jest dzień bilansowy?;1994_591.txt:Art.30;Art. 30.  1. Na dzień bilansowy ujmuje się wyrażone w walutach obcych:  1) udziały w innych jednostkach, długoterminowe papiery wartościowe oraz gotówkę znajdującą się w jednostkach prowadzących kupno i sprzedaż walut obcych - po kursie, po którym nastąpił ich zakup, jednak  w wysokości nie wyższej od obowiązującego na dzień bilansowy średniego kursu ustalonego dla danej waluty przez Prezesa Narodowego  Banku Polskiego,  2) pozostałe aktywa i pasywa - po obowiązującym na dzień bilansowy średnim  kursie ustalonym dla danej waluty przez Prezesa Narodowego Banku Polskiego.  2. W ciągu roku obrotowego ujmuje się w księgach rachunkowych, wyrażone w walutach obcych, operacje gospodarcze dotyczące:  1) środków pieniężnych, udziałów i papierów wartościowych - po kursie kupna lub sprzedaży banku, z którego usług korzysta jednostka,  2) pozostałych aktywów i pasywów - po obowiązującym na dzień przeprowadzenia  operacji średnim kursie ustalonym dla danej waluty przez Prezesa Narodowego Banku Polskiego, chyba że dowód odprawy celnej wyznacza inny kurs.  3. Jeżeli aktywa i pasywa są wyrażone w walutach, dla których Prezes Narodowego  Banku Polskiego nie ustala kursu, to ich wartość należy określić w relacji do wskazanej przez jednostkę waluty odniesienia, której kurs jest ustalany przez Prezesa Narodowego Banku Polskiego.  4. Różnice kursowe powstałe:  1) w związku z wyceną na dzień bilansowy środków pieniężnych, udziałów oraz papierów wartościowych,  2) przy zapłacie wyrażonych w walutach obcych należności i zobowiązań oraz innych operacjach  zalicza się do przychodów lub kosztów operacji finansowych.  5. Nadwyżkę ujemnych różnic kursowych nad dodatnimi, dotyczącą jednej waluty, powstałą w związku z wyceną na dzień bilansowy innych niż środki pieniężne, udziały oraz papiery wartościowe aktywów i pasywów wyrażonych  lub wymagających zapłaty w danej walucie obcej, zalicza się do kosztów  operacji finansowych. Nadwyżkę dodatnich różnic kursowych nad ujemnymi zalicza się do przychodów przyszłych okresów, a w bankach - do wyniku z pozycji wymiany.  
Co to jest dzień bilansowy?;1994_591.txt:Art.34;Art. 34.  1. Jednostki mogą wyceniać na dzień bilansowy:  1) materiały i towary oraz krótkoterminowe papiery wartościowe (przeznaczone  do obrotu) - w cenach zakupu,  2) produkty w toku produkcji - w wysokości bezpośrednich kosztów wytworzenia  lub tylko materiałów bezpośrednich bądź nie wyceniać ich w ogóle,  jeżeli nie zniekształca to stanu aktywów oraz wyniku finansowego jednostki.  Zasady, o których mowa w pkt 2, nie mogą być stosowane do produkcji o przewidywanym czasie wykonania dłuższym niż trzy miesiące, przeznaczonej  do sprzedaży lub na rzecz inwestycji rozpoczętych jednostki. Nie dotyczy to jednak produkcji rolnej.  2. Składniki rzeczowego majątku obrotowego mogą być w ciągu roku obrotowego  ujmowane w cenach przyjętych do ewidencji, skorygowanych o różnice  między tymi cenami, a rzeczywistymi cenami ich nabycia, zakupu lub kosztami wytworzenia. Nie później niż na dzień bilansowy należy wartość wykazywanych w cenach ewidencyjnych składników rzeczowego majątku obrotowego doprowadzić do poziomu określonego w ust. 1 lub art. 28 ust. 1 pkt 4. Nie dotyczy to produktów gotowych, produkcji w toku i półproduktów,  jeżeli do ich ewidencji stosuje się koszty planowe (normatywne), różnice zaś między planowymi a rzeczywistymi kosztami wytworzenia są nieznaczne. Stosowane do wyceny na dzień bilansowy ceny zakupu lub planowe koszty wytworzenia nie mogą być wyższe od cen sprzedaży netto tych składników.  3. Wytworzone przez jednostkę filmy, oprogramowanie użytkowe komputerów,  projekty typowe i inne produkty wielokrotnego użytku wycenia się w ciągu kolejnych 36 miesięcy, jakie następują od skierowania tych produktów  do sprzedaży, w wysokości nadwyżki kosztów ich wytworzenia nad przychodami według cen sprzedaży netto, uzyskanymi ze sprzedaży tych produktów w ciągu kolejnych 36 miesięcy. Nie odpisane po upływie 36 miesięcy koszty wytworzenia zwiększają pozostałe koszty operacyjne.  4. Wartość stanu końcowego rzeczowych składników majątku obrotowego, jak również krótkoterminowych papierów wartościowych (przeznaczonych do obrotu), w razie gdy ceny nabycia (zakupu) lub koszty wytworzenia jednakowych  lub uznanych za jednakowe ze względu na podobieństwo rodzaju  i przeznaczenie składników majątku są różne, wycenia się w zależności  od sposobu ustalania wartości ich rozchodu (zużycia, wydania do sprzedaży):  1) według cen przeciętnych, to jest ustalonych w wysokości średniej ważonej  cen (kosztów) danego składnika majątku,  2) przyjmując, że rozchód składnika majątku wycenia się kolejno po cenach  (kosztach) tych składników majątku, które jednostka najwcześniej nabyła (wytworzyła),  3) przyjmując, że rozchód składników majątku wycenia się kolejno po cenach  (kosztach) tych składników majątku, które jednostka najpóźniej nabyła (wytworzyła),  4) w drodze szczegółowej identyfikacji rzeczywistych cen (kosztów) tych składników majątkowych, które dotyczą ściśle określonych przedsięwzięć,  niezależnie od daty ich zakupu lub wytworzenia.  
Kto może emitować obligacje?;1996_498.txt:Art.39;Art. 39. 1. Bank zrzeszający posiadający fundusze własne w wysokości co najmniej  równowartości 20.000.000 EURO w okresie do dnia 31 grudnia 2007 r. może  emitować obligacje z terminem wykupu nie krótszym niż 5 lat, z których  uzyskane środki za zgodą Komisji Nadzoru Bankowego mogą być zaliczone do jego  funduszy uzupełniających. 2. Kwota środków zaliczana do funduszy uzupełniających banku z tytułu emisji  obligacji, o których mowa w ust. 1, nie może być wyższa niż 50% funduszy  podstawowych i w ciągu ostatnich 5 lat przed terminem wykupu tych obligacji  będzie corocznie pomniejszana o 20% jej wartości początkowej. 3. Do środków zaliczanych do funduszy uzupełniających banku, o których mowa w  ust. 2, mają zastosowanie przepisy art. 127 ust. 8 ustawy - Prawo bankowe. 4. Bank zrzeszający nie może nabywać obligacji, o których mowa w ust. 1, przed  nadejściem terminu ich wykupu. 5. W razie upadłości lub likwidacji banku roszczenia obligatariuszy zaspokajane  będą w ostatniej kolejności.  
