question;passage_id;passage
Jakie są zadania gmin w ramach prac związanych ze spisem?;1994_288_1;"Zadania gmin w ramach prac związanych z organizacją i prowadzeniem spisów 
rolnych obejmują:
   1) jednorazowe przekazanie wojewódzkim urzędom statystycznym aktualnej
     liczby gospodarstw i działek rolnych oraz wykazów indywidualnych 
     gospodarstw i działek rolnych zawierających:
       a) imię i nazwisko oraz datę urodzenia władającego,
       b) numer identyfikujący gospodarstwo (działkę rolną) w dokumentacji
         gminy,
       c) adres władającego (miejscowość, ulicę, numer nieruchomości, numer
         mieszkania),
       d) ogólną powierzchnię,
       e) powierzchnię użytków rolnych w gospodarstwie w hektarach fizycznych
         i przeliczeniowych,
       f) powierzchnię użytków rolnych działki,
   2) wykonanie do dnia 31 lipca 1994 r. następujących prac związanych z 
     zorganizowaniem i przeprowadzeniem spisu rolnego metodą reprezentacyjną:
       a) przedstawienie list kandydatów na ankieterów,
       b) udział w szkoleniu organizowanym przez wojewódzkie urzędy statystyczne
         oraz przeszkolenie ankieterów,
       c) nadzorowanie przebiegu prac w terenie,
       d) współuczestniczenie w przeprowadzeniu spisu kontrolnego,
       e) przyjęcie materiałów od ankieterów, kontrola materiałów i sporządzenie
         wstępnych zestawień zbiorczych dla gminy,
   3) przekazywanie corocznie - w terminie do dnia 15 maja - zmian w wykazach
     indywidualnych gospodarstw i działek rolnych, o których mowa 
     w pkt 1."
Jaki procent uprawnionych do głosowania musi wziąć udział w referendum, żeby było ono ważne?;1998_576_5;"1. Mieszkańcy województwa podejmują rozstrzygnięcia w głosowaniu powszechnym
  (w drodze wyborów i  referendum) lub za pośrednictwem organów samorządu
  województwa.
2. Referendum może być przeprowadzone w każdej ważnej dla województwa sprawie
  mieszczącej się w zakresie jego zadań.
3. Referendum przeprowadza się z inicjatywy sejmiku województwa lub na
  wniosek co najmniej 1/10 mieszkańców uprawnionych do głosowania.
4. Referendum jest ważne, jeżeli wzięło w nim udział co najmniej 30%
  uprawnionych do głosowania.
5. Zasady i tryb przeprowadzania referendum określa odrębna ustawa."
Kiedy do okresu zasiłkowego wlicza się okresy poprzedniej niezdolności do pracy, spowodowanej tą samą chorobą?;1995_488_9;"1. Do okresu, o którym mowa w art. 8, zwanego dalej ""okresem zasiłkowym"",
  wlicza się wszystkie okresy nieprzerwanej niezdolności do pracy, jak również
  okresy niemożności wykonywania pracy z przyczyn określonych w art. 6 ust. 2.
2. Do okresu zasiłkowego wlicza się okresy poprzedniej niezdolności do pracy,
  spowodowanej tą samą chorobą, jeżeli przerwa pomiędzy ustaniem poprzedniej, a
  powstaniem ponownej niezdolności do pracy nie przekraczała 60 dni.
3. Do okresu zasiłkowego nie wlicza się okresu niezdolności do pracy
  przypadającego w okresach, o których mowa w art. 4 ust. 1."
Co nazywamy wzorem przemysłowym?;1994_195_102;"1. Wzorem przemysłowym jest nowa i oryginalna, nadająca się do wielokrotnego
  odtwarzania postać wytworu, przejawiająca się w szczególności w jego
  kształcie, właściwościach powierzchni, barwie, rysunku lub ornamencie.
2. Nie stanowi wzoru przemysłowego postać wytworu uwarunkowana wyłącznie
  względami technicznymi lub funkcjonalnymi."
Co obowiązany jest mieć przy sobie kierowca pojazdu samochodowego podczas przejazdu wykonywanego w ramach transportu drogowego?;1997_677_4;"1. Krajowy przedsiębiorca jest obowiązany wyposażyć kierowcę pojazdu samochodowego
  zarejestrowanego w kraju w dokumenty związane z przewozem
  wykonywanym w ramach międzynarodowego transportu drogowego.
2. Kierowca pojazdu samochodowego zarejestrowanego w kraju jest obowiązany
  mieć przy sobie i okazywać na żądanie uprawnionego organu kontroli,
  stosownie do rodzaju przewozu, następujące dokumenty: 
   1) koncesję na wykonywanie międzynarodowego transportu drogowego,
   2) zezwolenie zagraniczne na przewóz rzeczy,
   3) zezwolenie na przewóz osób w ramach międzynarodowego transportu 
     drogowego,
   4) dokumenty wymagane zgodnie z umową europejską dotyczącą międzynarodowego
     przewozu drogowego towarów niebezpiecznych (ADR),
   5) świadectwo wymagane zgodnie z umową o międzynarodowych przewozach
     szybko psujących się artykułów żywnościowych i o specjalnych środkach
     transportu przeznaczonych do tych przewozów (ATP),
   6) zezwolenie na przejazd pojazdu, z ładunkiem lub bez ładunku, o masie, 
     naciskach osi lub wymiarach przekraczających wielkości określone w 
     odrębnych przepisach,
   7) formularz jazdy - przy wykonywaniu przewozu okazjonalnego, wahadłowego
     lub przewozu osób na potrzeby własne,
   8) dowód uiszczenia opłaty obowiązującej w międzynarodowym transporcie
     drogowym,
   9) zapisy zamontowanego w pojeździe urządzenia rejestrującego samoczynnie
     prędkość jazdy oraz czas jazdy i postoju kierującego lub kierujących
     pojazdem samochodowym.
3. Kierowca pojazdu samochodowego zarejestrowanego za granicą jest obowiązany
  mieć przy sobie i okazywać na żądanie uprawnionego organu 
  kontroli, stosownie do rodzaju przewozu, następujące dokumenty: 
   1) zezwolenie Ministra Transportu i Gospodarki Morskiej na przewóz 
     osób lub rzeczy w ramach międzynarodowego transportu drogowego,
   2) dokumenty wymagane zgodnie z umową europejską dotyczącą międzynarodowego
     przewozu drogowego towarów niebezpiecznych (ADR),
   3) świadectwo wymagane zgodnie z umową o międzynarodowych przewozach
     szybko psujących się artykułów żywnościowych i o specjalnych środkach
     transportu przeznaczonych do tych przewozów (ATP),
   4) zezwolenie na przejazd pojazdu, z ładunkiem lub bez ładunku, o masie, 
     naciskach osi lub wymiarach przekraczających wielkości określone w 
     odrębnych przepisach,
   5) formularz jazdy - przy wykonywaniu przewozu okazjonalnego, wahadłowego
     lub przewozu osób na potrzeby własne,
   6) dowód uiszczenia opłaty obowiązującej w międzynarodowym transporcie
     drogowym,
   7) zapisy zamontowanego w pojeździe urządzenia rejestrującego samoczynnie
     prędkość jazdy oraz czas jazdy i postoju kierującego lub kierujących
     pojazdem samochodowym.
4. Przepisy ust. 1-3 nie naruszają obowiązków przedsiębiorców lub kierowców
  wykonujących międzynarodowy transport drogowy, wynikających z odrębnych
  ustaw lub umów międzynarodowych."
Kogo minister właściwy do spraw transportu może upoważnić do wydawania zezwoleń zagranicznych?;1997_677_19;"Minister Transportu i Gospodarki Morskiej może upoważnić na określonych 
warunkach:
   1) kierownika jednostki organizacyjnej utworzonej w tym celu - do wydawania
     zezwoleń zagranicznych oraz wykonywania niektórych czynności 
     związanych z udzielaniem koncesji,
   2) polskie organizacje o zasięgu ogólnokrajowym zrzeszające międzynarodowych
     przewoźników drogowych - do wydawania zezwoleń zagranicznych."
Jakie są stawki kar za zniszczenie jednego metra kwadratowego terenu zieleni?;2004_880_89;"1. Administracyjną karę pieniężną, o której mowa w art. 88 ust. 1, ustala się,
  z zastrzeżeniem ust. 5, w wysokości trzykrotnej opłaty za usunięcie drzew lub
  krzewów ustalonej na podstawie stawek, o których mowa w art. 85 ust. 4 pkt 1,
  ust. 5 i 6.
2. Jeżeli ustalenie obwodu lub gatunku zniszczonego lub usuniętego bez
  zezwolenia drzewa jest niemożliwe, z powodu wykarczowania pnia i braku kłody,
  dane do wyliczenia administracyjnej kary pieniężnej ustala się na podstawie
  informacji zebranych w toku postępowania administracyjnego, powiększając ją o
  50%.
3. Jeżeli ustalenie obwodu zniszczonego lub usuniętego bez zezwolenia drzewa
  jest niemożliwe, z powodu braku kłody, obwód do wyliczenia administracyjnej
  kary pieniężnej ustala się, przyjmując najmniejszy promień pnia i
  pomniejszając wyliczony obwód o 10%.
4. Jeżeli ustalenie wielkości powierzchni zniszczonych lub usuniętych bez
  zezwolenia krzewów nie jest możliwe, z powodu usunięcia gałęzi i korzeni,
  wielkość tę przyjmuje się na podstawie informacji zebranych w toku
  postępowania administracyjnego.
5. Stawki kar za zniszczenie jednego metra kwadratowego terenu zieleni wynoszą:
   1) dla trawników - 46 zł;
   2) dla kwietników - 395 zł.
6. Kary ustalone, nieuiszczone w wyznaczonym terminie, podlegają wraz z
  odsetkami za zwłokę przymusowemu ściągnięciu w trybie określonym w przepisach
  o postępowaniu egzekucyjnym w administracji.
7. Kary nie uiszcza się po upływie 5 lat od końca roku, w którym upłynął termin
  jej wniesienia.
8. Stawki kar, o których mowa w ust. 5, podlegają z dniem 1 stycznia każdego
  roku waloryzacji o prognozowany średnioroczny wskaźnik cen towarów i usług
  konsumpcyjnych ogółem, przyjęty w ustawie budżetowej.
9. Minister właściwy do spraw środowiska określi, w drodze rozporządzenia, tryb
  nakładania administracyjnych kar pieniężnych, o których mowa w art. 88
  ust. 1, kierując się potrzebą przeciwdziałania niszczeniu terenów zieleni,
  drzew i krzewów oraz usuwaniu drzew i krzewów bez wymaganego zezwolenia."
Jaki dzień jest Świętem Żandarmerii Wojskowej?;2001_1353_15;Świętem Żandarmerii Wojskowej jest dzień 13 czerwca.
Kogo minister właściwy do spraw transportu może upoważnić do wydawania zezwoleń zagranicznych?;2001_1371_32;"Minister właściwy do spraw transportu, mając na względzie usprawnienie procedur
wydawania zezwoleń zagranicznych, może upoważnić do wydawania tych dokumentów:
   1) w drodze zarządzenia - kierownika jednostki, o którym mowa w art. 17
     ust. 2, na określonych warunkach,
   2) w drodze rozporządzenia - polskie organizacje o zasięgu ogólnokrajowym
     zrzeszające międzynarodowych przewoźników drogowych, uwzględniając w
     szczególności właściwe zabezpieczenie tych dokumentów uniemożliwiające
     dostęp osób niepowołanych, wyposażenie pomieszczeń w urządzenia
     gwarantujące bezpieczeństwo przechowywanych dokumentów, ubezpieczenie od
     wszelkiego ryzyka oraz sposób rozliczania się w przypadku zaginięcia,
     zniszczenia lub utraty tych dokumentów.
                                        
                                   Rozdział 5
                           Przewozy na potrzeby własne"
Jakie instytucje są organami dochodzenia w sprawach o przestępstwa skarbowe i wykroczenia?;1999_930_118;"§ 1. Organami dochodzenia w sprawach o przestępstwa skarbowe i wykroczenia
     skarbowe są:
   1) urząd skarbowy,
   2) inspektor kontroli skarbowej,
   3) urząd celny,
   4) funkcjonariusz inspekcji celnej,
   5) Straż Graniczna,
   6) Policja,
   7) Żandarmeria Wojskowa.
 § 2. Organem dochodzenia w sprawach o przestępstwa skarbowe jest także Urząd
     Ochrony Państwa.
 § 3. Czynności procesowe organów, o których mowa w § 1 i 2, wykonują
     upoważnieni przedstawiciele tych organów."
Na jakich zasadach odbywają się przewozy wojsk obcych kolejami?;1999_1063_20;"Przewozy wojsk obcych kolejami odbywają się na takich samych zasadach jak
przewozy Sił Zbrojnych Rzeczypospolitej Polskiej."
Jakie są zadania gmin w ramach prac związanych ze spisem?;1996_147_9;"1. Zadania gmin, w ramach prac związanych ze spisem, obejmują: 
   1) przygotowanie wykazów właścicieli zwierząt gospodarskich nie posiadających
     użytków rolnych,
   2) rozliczenie powierzchni gruntów użytkowanych w gminie,
   3) zorganizowanie przeprowadzenia spisu na terenie gminy, we współdziałaniu
     z urzędem statystycznym, w tym:
       a) delegowanie pracowników urzędu gminy do prac spisowych i na 
         szkolenia organizowane przez urząd statystyczny,
       b) nabór kandydatów na rachmistrzów spisowych,
       c) przeprowadzenie szkolenia rachmistrzów spisowych,
       d) rozdział druków spisowych,
       e) nadzorowanie czynności spisowych,
       f) kontrola kompletności kwestionariuszy spisowych w obwodach spisowych
         oraz kontrola kompletności zapisów na kwestionariuszach 
         spisowych,
       g) sporządzenie zestawień wstępnych,
       h) uporządkowanie i przekazanie całości materiałów spisowych do 
         urzędu statystycznego.
 2. Nadzór merytoryczny nad realizacją zadań, o których mowa w ust. 1, 
   sprawuje dyrektor urzędu statystycznego województwa, na którego terenie 
   znajduje się gmina.
 3. Zadania, o których mowa w ust. 1, gminy realizują jako zadania zlecone z 
   zakresu administracji rządowej.
 4. Środki na wykonanie zadań zostaną przekazane gminom przez Główny 
   Urząd Statystyczny za pośrednictwem urzędów statystycznych - w terminach
   wyprzedzających o 30 dni prace, o których mowa w ust. 1 pkt 1 i 2 - 
   po zakończeniu prac, o których mowa w ust. 1 pkt 3; ostateczne rozliczenie
   nastąpi w terminie do dnia 30 września 1996 r."
Czyją własnością są zwierzęta łowne w stanie wolnym?;1995_713_2;"Zwierzęta łowne w stanie wolnym, jako dobro ogólnonarodowe, stanowią własność
Skarbu Państwa."
Jakie substancje słodzące mogą być stosowane przy produkcji wyrobów winiarskich?;2001_1401_7;"1. Przy produkcji wyrobów winiarskich mogą być stosowane wyłącznie następujące
  substancje słodzące:
   1) sacharoza w postaci cukru pół-białego, cukru białego, rafinowanego cukru
     białego,
   2) dekstroza,
   3) fruktoza,
   4) syrop glukozowy,
   5) cukier płynny,
   6) inwertowany cukier płynny,
   7) inwertowany syrop cukrowy,
   8) rektyfikowany zagęszczony moszcz gronowy,
   9) zagęszczony moszcz gronowy,
  10) świeży moszcz gronowy
  11) cukier palony,
  12) miód pszczeli,
  13) syrop ""carob"",
  14) inne naturalne substancje węglowodanowe, dozwolone na podstawie odrębnych
     przepisów, dające efekt podobny do substancji, o których mowa w pkt 1-13,
 - z zastrzeżeniem ust 3 i art. 24.
2. Słodzenie fermentowanych napojów winiarskich i aromatyzowanych napojów
  winiarskich może być wykonywane również innymi substancjami słodzącymi
  dozwolonymi na podstawie odrębnych przepisów.
3. Miody pitne mogą być dosładzane wyłącznie miodem pszczelim lub sacharozą."
